ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Intended Market,Volume (cu. ft.),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Connected,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2024 Criteria
2347077,Kenmore,4107#,,,Front Load,Residential,5.2,2.92,1.84,120,3.2,4.7,4899,No,No,,09/24/2019,09/19/2019,"United States, Canada",ES_0015649_4107#_09242019045556_80018520,Yes
2310500,Kenmore,4126#,,,Front Load,Residential,4.5,2.92,1.84,90,3.2,4.7,4220,No,No,,07/29/2016,02/09/2018,"United States, Canada",ES_15649_4126#_02092018060252_70172585,Yes
2345935,Kenmore,4136#,,,Front Load,Residential,4.5,2.92,1.84,100,2.9,4.7,3833,No,No,,09/04/2018,09/03/2019,"United States, Canada",ES_0015649_4136#_09042019082505_80016671,Yes
2345994,Kenmore,4146#,,,Front Load,Residential,4.5,2.92,1.84,100,2.9,4.7,3833,No,No,,09/05/2019,09/05/2019,"United States, Canada",ES_1118034_4146#_09062019124237_80017072,Yes
2340664,Kenmore,4156#,,,Front Load,Residential,4.5,2.92,1.84,105,2.9,4.7,3850,No,No,,06/28/2019,06/28/2019,"United States, Canada",ES_1118034_4156#_07022019021426_80009619,Yes
2347078,Kenmore,4198#,,,Front Load,Residential,5.2,2.92,1.84,120,3.2,4.7,4899,No,No,,09/24/2019,09/19/2019,"United States, Canada",ES_0015649_4198#_09242019045556_80018520,Yes
2363886,Bosch,WAW285H1UC,,825225963233,Front Load,Residential,2.2,2.2,1.84,84,3.7,4.7,2379,Yes,Yes,ES_31649_WTW87NH1UC_07082020153043_1234247,10/01/2020,07/31/2020,"United States, Canada",ES_31649_WAW285H1UC_07082020145146_4616052,Yes
3354743,Bosch,WGB246AXUC,",WGB24600UC,",825225970255;825225970262,Front Load,Residential,2.4,2.72,1.84,118,3.5,4.7,2426,Yes,,,04/01/2024,01/03/2024,"United States, Canada",ES_31649_WGB246AXUC_12202023113453_4224359,Yes
2378411,Electrolux,ELFW7437***,,012505388408;12505388408,Front Load,Residential,4.5,2.92,1.84,85,3.2,4.7,4248,No,Yes,ES_1021080_ELFE7437***_062820211816942_5919809,07/01/2021,05/19/2021,"United States, Canada",ES_1021080_ELFW7437***_05252021015644_80075233,Yes
2378410,Electrolux,ELFW7537***,,012505388446;12505388446;12505388453,Front Load,Residential,4.5,2.92,1.84,85,3.2,4.7,4248,No,Yes,ES_1021080_ELFE7537***_062820211816231_3995877,07/01/2021,05/19/2021,"United States, Canada",ES_1021080_ELFW7537***_05252021015644_80075233,Yes
2378409,Electrolux,ELFW7637***,,012505388521;12505388521;12505388538,Front Load,Residential,4.5,2.92,1.84,85,3.2,4.7,4248,No,Yes,ES_1021080_ELFE7637***_062820211816181_3625903,07/01/2021,05/19/2021,"United States, Canada",ES_1021080_ELFW7637***_05252021015644_80075233,Yes
2333514,Samsung,WF45R61**A*,,887276299464,Front Load,Residential,4.5,2.92,1.84,95,2.9,4.7,3807,No,Yes,"ES_1023593_DVE45T61***_12192019075804_80025528, ES_1023593_DVG45T61***_12192019075804_80025528",02/01/2019,01/15/2019,"United States, Canada",ES_1023593_WF45R61**A*_02042019013708_70211758,Yes
2333513,Samsung,WF45R63**A*,,887276299488,Front Load,Residential,4.5,2.92,1.84,95,2.9,4.7,3807,No,Yes,ES_1023593_DVE45R63***_02042019015349_70211037,02/01/2019,01/15/2019,"United States, Canada",ES_1023593_WF45R63**A*_02042019013708_70211758,Yes
2354715,Samsung,WF45T60**A*,,887276394794,Front Load,Residential,4.5,2.95,1.84,90,2.9,4.7,3807,No,Yes,ES_1023593_DVE45T6005*_01282020013743_80031700,02/20/2020,02/05/2020,"United States, Canada",ES_1023593_WF45T60**A*_02122020040721_80031543,Yes
2352574,Samsung,WF45T62**A*,,887276407036,Front Load,Residential,4.5,2.92,1.84,95,2.9,4.7,3807,No,Yes,ES_1023593_DVE45R63***_02042019015349_70211037,02/24/2020,12/04/2019,"United States, Canada",ES_1023593_WF45T62**A*_01062020010646_80025529,Yes
2396783,Samsung,WF46BB67**A*,,887276659763,Front Load,Residential,4.6,3.1,1.84,94,2.9,4.7,3893,No,Yes,"ES_1023593_DVG46BB67***_05132022120552_80125535, ES_1023593_DVE46BB67***_05132022120552_80125535",07/15/2022,05/24/2022,"United States, Canada",ES_1023593_WF46BB67**A*_05242022084735_80128517,Yes
2396780,Samsung,WF46BG65**A*,,887276659794,Front Load,Residential,4.6,3.1,1.84,95,2.9,4.7,3893,No,Yes,"ES_1023593_DVG46BG65***_05132022120552_80125535, ES_1023593_DVE46BG65***_05132022120552_80125535",07/01/2022,05/24/2022,"United States, Canada",ES_1023593_WF46BG65**A*_05242022084735_80128517,Yes
2374792,Samsung,WF50A85**A*,,887276540726,Front Load,Residential,5,2.92,1.84,110,2.9,4.7,4235,No,No,,03/22/2021,03/12/2021,"United States, Canada",ES_1023593_WF50A85**A*_03122021051018_80071060,Yes
2371013,Samsung,WF50A86**A*,,887276518992,Front Load,Residential,5,3.1,1.84,99,2.9,4.7,4235,No,Yes,"ES_1023593_DVE50A86***_12222020113741_80066001, ES_1023593_DVG50A86***_12222020113741_80066001",01/10/2021,12/18/2020,"United States, Canada",ES_1023593_WF50A86**A*_12182020013638_80066743,Yes
2371012,Samsung,WF50A88**A*,,887276519012,Front Load,Residential,5,3.1,1.84,100,2.9,4.7,4235,No,Yes,"ES_1023593_DVE50A88***_12222020113741_80066001, ES_1023593_DVG50A88***_12222020113741_80066001",01/10/2021,12/18/2020,"United States, Canada",ES_1023593_WF50A88**A*_12182020013638_80066743,Yes
2396782,Samsung,WF50BG83**A*,,887276660912,Front Load,Residential,5,3.1,1.84,99,2.9,4.7,4235,No,Yes,"ES_1023593_DVG50BG83***_05132022120552_80125535, ES_1023593_DVE50BG83***_05132022120552_80125535",06/24/2022,05/24/2022,"United States, Canada",ES_1023593_WF50BG83**A*_05242022084735_80128517,Yes
2341069,Samsung,WF50R85**A*,,887276348063,Front Load,Residential,5,2.92,1.84,100,2.9,4.7,4235,No,Yes,"ES_1023593_DVE50R85***_06142019045223_80005221, ES_1023593_DVG50R85***_06142019045223_80005221",08/16/2019,07/04/2019,"United States, Canada",ES_1023593_WF50R85**A*_07112019020132_80009393,Yes
2356083,Samsung,WF50T85**A*,,887276398754,Front Load,Residential,5,2.92,1.84,110,2.9,4.7,4235,No,Yes,ES_1023593_DVE50R85***_06142019045223_80005221,03/20/2020,03/06/2020,"United States, Canada",ES_1023593_WF50T85**A*_03092020072121_80035216,Yes
2620679,Samsung,WF51CG80**A*,,887276785295,Front Load,Residential,5.1,3.1,1.84,93,2.9,4.7,4329,No,Yes,ES_1023593_DVE51CG8005*_07042023160041_80174930,08/15/2023,07/18/2023,"United States, Canada",ES_1023593_WF51CG80**A*_07272023180622_80176628,Yes
2395405,Samsung,WF53BB87**A*,,887276652238,Front Load,Residential,5.3,3.1,1.84,103,2.9,4.7,4491,No,Yes,"ES_1023593_DVG53BB87***_05132022122455_80125536*,ES_1023593_DVE53BB87***_05132022122455_80125536",06/10/2022,05/04/2022,"United States, Canada",ES_1023593_WF53BB87**A*_05042022110036_80126452,Yes
2395404,Samsung,WF53BB89**A*,,887276660127,Front Load,Residential,5.3,3.1,1.84,103,2.9,4.7,4491,No,Yes,"ES_1023593_DVE53BB89***_05132022122455_80125536,ES_1023593_DVG53BB89***_05132022122455_80125536",06/03/2022,05/04/2022,"United States, Canada",ES_1023593_WF53BB89**A*_05042022110036_80126452,Yes
2300867,Samsung,WV55M96**A***,,887276196923,Front Load,Residential,4.5,2.92,1.84,105,2.9,4.7,3850,No,No,,01/23/2017,05/26/2017,"United States, Canada",ES_1023593_WV55M96**A***_07192017085024_70137562,Yes
2378347,Samsung,WV60A99**A*,,887276557885,Front Load,Residential,5,2.92,1.84,110,2.9,4.7,4235,No,Yes,ES_1023593_DVE60A99***_05142021031426_80078534,05/22/2021,05/11/2021,"United States, Canada",ES_1023593_WV60A99**A*_05232021020358_80078533_,Yes
2300868,Samsung,WV60M99**A***,,887276196954,Front Load,Residential,5,2.92,1.84,105,2.9,4.7,4278,No,No,,01/23/2017,05/26/2017,"United States, Canada",ES_1023593_WV60M99**A***_07192017085024_70137562,Yes
2394988,Samsung,WW25B68**A*,,887276650302,Front Load,Residential,2.5,2.25,1.84,90,3.7,4.7,2718,No,Yes,ES_1023593_DV25B68**H*_05242022082615_80127881,06/02/2022,04/20/2022,"United States, Canada",ES_1023593_WW25B68**A*_04212022093455_80123569,Yes
2394989,Samsung,WW25B69**A*,,887276650319,Front Load,Residential,2.5,2.25,1.84,90,3.7,4.7,2718,No,Yes,ES_1023593_DV25B69**H*_07222022082624_80135522,06/02/2022,04/20/2022,"United States, Canada",ES_1023593_WW25B69**A*_04212022093455_80123569,Yes
3387758,Samsung,WD53DBA9**H*,,887276824949,Front Load,Residential,5.3,2.92,1.84,103,2.9,4.7,4500,No,No,,03/08/2024,01/19/2024,"United States, Canada",ES_1023593_WD53DBA9**H*_01252024110111_80198007,Yes
2378660,Samsung,WF45A64**A*,,887276557854,Front Load,Residential,4.5,3.1,1.84,93,2.9,4.7,3807,No,Yes,"ES_1023593_DVE45A64*** _05142021031426_80078534, ES_1023593_DVG45A64*** _05142021031426_80078534",05/31/2021,05/18/2021,"United States, Canada",ES_1023593_WF45A64**A*_05312021112921_80084269,Yes
2389114,Samsung,WF45B63**A*,,887276627427,Front Load,Residential,4.5,3.1,1.84,93,2.9,4.7,3807,No,No,,01/20/2022,11/29/2021,"United States, Canada",ES_1023593_WF45B63**A*_12102021071549_80106295,Yes
3354671,LG,WKHC152H*A,,195174071021,Front Load,Residential,2.4,2.2,1.84,90,3.7,4.7,2609,No,Yes,ES_1118034_WKHC152H*A_01022024152658_80195044,12/27/2023,12/27/2023,"United States, Canada",ES_1118034_WKHC152H*A_01022024151305_80195043,Yes
2394265,LG,WKHC202H*A,,195174022887;195174033517,Front Load,Residential,4.5,2.92,1.84,105,2.9,4.7,3867,No,Yes,ES_1118034_WKHC202H*A_03302022123303_80119590,03/25/2022,03/24/2022,"United States, Canada",ES_1118034_WKHC202H*A_03312022111206_80119592,Yes
2740370,LG,WKHC252H*A,,195174072318;195174072370,Front Load,Residential,5,2.92,1.84,99,2.9,4.7,4278,No,Yes,ES_1118034_WKHC252H*A_11212023102146_80190193,11/15/2023,11/15/2023,"United States, Canada",ES_1118034_WKHC252H*A_11202023120505_80190189,Yes
2310498,LG,WM3270C*,,772454067884;893524450143,Front Load,Residential,4.5,2.92,1.84,90,3.2,4.7,4220,No,No,,07/29/2016,02/09/2018,"United States, Canada",ES_1118034_WM3270C*_02092018060252_70172585,Yes
2350799,LG,WM3400C*,,048231027922;772454074202,Front Load,Residential,4.5,2.92,1.84,100,2.9,4.7,3841,No,No,,12/04/2019,12/03/2019,"United States, Canada",ES_1118034_WM3400C*_12042019020720_80026951,Yes
2365132,LG,WM3450C*,,772454073809,Front Load,Residential,4.5,2.92,1.84,100,2.9,4.7,3841,No,No,,08/27/2020,08/25/2020,"United States, Canada",ES_1118034_WM3450C*_08272020033724_80054071,Yes
2339489,LG,WM3460C*,,048231028059;048231028080,Front Load,Residential,4.5,2.92,1.84,100,2.9,4.7,3841,No,No,,06/06/2019,06/06/2019,"United States, Canada",ES_1118034_WM3460C*_06072019043709_80006477,Yes
2405711,LG,WM3470C*,,195174048375;195174048740,Front Load,Residential,5,2.92,1.84,95,2.9,4.7,4295,No,No,,12/15/2022,12/15/2022,"United States, Canada",ES_1118034_WM3470C*_12152022105046_80153157,Yes
2319458,LG,WM3500C*,,048231024990,Front Load,Residential,4.5,2.92,1.84,100,2.9,4.7,3841,No,No,,05/09/2018,05/04/2018,"United States, Canada",ES_1118034_WM3500C*_05072018024107_70182073,Yes
2358067,LG,WM3600H*A,,048231028257;048231028264,Front Load,Residential,4.5,2.92,1.84,105,2.9,4.7,3841,No,No,,04/14/2020,04/14/2020,"United States, Canada",ES_1118034_WM3600H*A_04152020094416_80040225,Yes
2367421,LG,WM3605H*A,,772454073632,Front Load,Residential,4.5,2.92,1.84,105,2.9,4.7,3841,No,No,,10/14/2020,10/13/2020,"United States, Canada",ES_1118034_WM3605H*A_10142020051525_80059014,Yes
2318268,LG,WM3700H*A,,048231024600;048231024624;048231025065,Front Load,Residential,4.5,2.92,1.84,105,2.9,4.7,3841,No,No,,04/21/2018,04/09/2018,"United States, Canada",ES_1118034_WM3700H*A_04102018113028_70179308,Yes
2337192,LG,WM3800H*A,,772454071287;772454071720,Front Load,Residential,4.5,2.92,1.84,105,2.9,4.7,3850,No,No,,04/29/2019,04/24/2019,"United States, Canada",ES_1118034_WM3800H*A_04242019014737_80001963,Yes
2367422,LG,WM3850H*A,,772454073625;772454073632,Front Load,Residential,4.5,2.92,1.84,105,2.9,4.7,3841,No,No,,10/14/2020,10/13/2020,"United States, Canada",ES_1118034_WM3850H*A_10142020051525_80059014,Yes
2337191,LG,WM3900H*A,,048231024839;048231024891;048231026420,Front Load,Residential,4.5,2.92,1.84,105,2.9,4.7,3850,No,No,,04/29/2019,04/24/2019,"United States, Canada",ES_1118034_WM3900H*A_04242019014737_80001963,Yes
2358068,LG,WM4000H*A,,048231028271;048231028288,Front Load,Residential,4.5,2.92,1.84,105,2.9,4.7,3841,No,No,,04/14/2020,04/14/2020,"United States, Canada",ES_1118034_WM4000H*A_04152020094416_80040225,Yes
2393561,LG,WM4080H*A,,195174037034;195174037041,Front Load,Residential,4.5,2.92,1.84,105,2.9,4.7,3841,No,No,,03/03/2022,03/02/2022,"United States, Canada",ES_1118034_WM4080H*A_03042022014023_80118577,Yes
2367423,LG,WM4100H*A,,772454073250;772454073274,Front Load,Residential,4.5,2.92,1.84,105,2.9,4.7,3841,No,No,,10/14/2020,10/13/2020,"United States, Canada",ES_1118034_WM4100H*A_10142020051525_80059014,Yes
2360586,LG,WM4200H*A,,048231028295;048231028301,Front Load,Residential,5,3.1,1.84,105,2.9,4.7,4278,No,No,,05/21/2020,05/21/2020,"United States, Canada",ES_1118034_WM4200H*A_05252020115847_80043606,Yes
2355243,LG,WM4500H*A,,048231026772;048231026802,Front Load,Residential,5,3.1,1.84,105,2.9,4.7,4278,No,No,,02/24/2020,02/24/2020,"United States, Canada",ES_1118034_WM4500H*A_02252020053405_80034984,Yes
2404736,LG,WM5500H*A,,195174052976;195174052990,Front Load,Residential,4.5,2.92,1.84,105,3,4.7,4000,No,No,,11/18/2022,11/17/2022,"United States, Canada",ES_1118034_WM5500H*A_11182022103053_80149412,Yes
2472838,LG,WM5700H*A,,195174062784,Front Load,Residential,4.5,2.92,1.84,105,3,4.7,4000,No,No,,05/04/2023,05/04/2023,"United States, Canada",ES_1118034_WM5700H*A_05082023143455_80168209,Yes
2404735,LG,WM6500H*A,,195174048689;195174052921,Front Load,Residential,5,2.92,1.84,105,3,4.7,4443,No,No,,11/17/2022,11/17/2022,"United States, Canada",ES_1118034_WM6500H*A_11182022103053_80149412,Yes
2397418,LG,WM6700H*A,,195174037058,Front Load,Residential,5,3.1,1.84,105,3,4.7,4425,No,No,,06/07/2022,06/07/2022,"United States, Canada",ES_1118034_WM6700H*A_06132022032603_80129741,Yes
2683756,LG,WM6998H*A,,195174070161,Front Load,Residential,5,2.92,1.84,99,2.9,4.7,4235,No,No,,10/18/2023,10/13/2023,"United States, Canada",ES_1118034_WM6998H*A_10162023153153_80186979,Yes
2310481,LG,WM8100H*A,,048231017459;048231017466,Front Load,Residential,5.2,2.92,1.84,120,3.2,4.7,4880,No,No,,05/02/2016,02/08/2018,"United States, Canada",ES_1118034_WM8100H*A_02092018060252_70172585,Yes
2390058,LG,WM8900H*A,,195174024829,Front Load,Residential,5.2,3.1,1.84,105,2.9,4.7,4423,No,No,,12/22/2021,12/20/2021,"United States, Canada",ES_1118034_WM8900H*A_01042022030848_80111020,Yes
2390059,LG,WM8980H*A,,195174024867,Front Load,Residential,5.2,3.1,1.84,105,2.9,4.7,4423,No,No,,12/22/2021,12/20/2021,"United States, Canada",ES_1118034_WM8980H*A_01042022030848_80111020,Yes
2310504,LG,WM9000H*A,,048231015349;048231015356;772454058837,Front Load,Residential,5.2,2.92,1.84,120,3.2,4.7,4880,No,No,,06/29/2015,02/09/2018,"United States, Canada",ES_1118034_WM9000H*A_02092018060252_70172585,Yes
2310479,LG,WM9500H*A,,048231015400;048231017039,Front Load,Residential,5.8,3.1,1.84,120,2.7,4.7,4588,No,No,,06/26/2016,02/08/2018,"United States, Canada",ES_1118034_WM9500H*A_02092018060252_70172585,Yes
