ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Product Type,Application,Display Type,Backlight Technology Type,Diagonal Viewable Screen Size (in.),Screen Area (sq. in.),Native Horizontal Resolution (pixels),Native Vertical Resolution (pixels),Resolution Format,High Contrast Ratio (HCR) Display,Physical Data Ports Available,Ethernet Supported,Low Power Wireless Technologies Supported,Features,Automatic Brightness Control,Is Automatic Brightness Control Enabled by Default in the Default SDR Preset Picture Setting When Television is Shipped?,Average On Mode Power Consumption for Certification (watts),Maximum Average On Mode Power for Certification (watts),Reported On Mode Power (per the Federal Test Procedure) (watts),Reported Annual Energy Consumption (kWh),Measured Standby Mode Power (Watts),Power Consumption in Standby Mode when Not Connected to a Network (watts),Power Consumption in Standby Mode when Connected to a Network (watts),"Reported Standby-Active, Low Mode Power (watts)",Date Available On Market,Date Certified,Markets,CB Model Identifier
3049373,"LG Electronics, Inc.",LG,OLED55B4PU*,OLED55B4PU*,"OLED55B4AU*,OLED55B4AU*,OLED55B4AU* is the same as OLED55B4PU* except for model designation.* may be any alphanumeric according to color of stand or enclosure; OLED55B4EU*,OLED55B4EU*,OLED55B4EU* is the same as OLED55B4PU* except for model designation. (* may be any alphanumeric according to color of stand or enclosure.)",195174077290;195174077306,Television (TV),Consumer,OLED,OLED,54.6,1275.74,3840,2160,4K (UHD),Yes,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Quick Start,Wake-On-Cast Compatibility,Control Via Remote Control App,Control Via Smart Speaker,Automatic Brightness Control,User Adjustable Backlight",Yes,No,95.5,116.6,95.5,177,0.4,0.3,0.4,0.4,02/20/2024,12/19/2023,United States,ES_1118034_OLED55B4PU*_121920231333329_5810272
2838654,"LG Electronics, Inc.",LG,OLED55C4PU*,OLED55C4PU*,"OLED55C4AU*,OLED55C4AU*,OLED55C4AU* is the same as OLED55C4PU* except for model designation.* may be any alphanumeric according to color of stand or enclosure",195174077238;195174078150,Television (TV),Consumer,OLED,OLED,54.6,1275.74,3840,2160,4K (UHD),Yes,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Quick Start,Wake-On-Cast Compatibility,Control Via Remote Control App,Control Via Smart Speaker,Automatic Brightness Control,User Adjustable Backlight",Yes,No,103.1,124,103.1,191,,0.3,0.4,0.4,02/20/2024,12/05/2023,United States,ES_1118034_OLED55C4PU*_120520230754834_6379453
3049374,"LG Electronics, Inc.",LG,OLED65B4PU*,OLED65B4PU*,"OLED65B4AU*,OLED65B4AU*,OLED65B4AU* is the same as OLED65B4PU* except for model designation.* may be any alphanumeric according to color of stand or enclosure; OLED65B4EU*,OLED65B4EU*,OLED65B4EU* is the same as OLED65B4PU* except for model designation.* may be any alphanumeric according to color of stand or enclosure",195174077252;195174078174,Television (TV),Consumer,OLED,OLED,64.5,1778.87,3840,2160,4K (UHD),Yes,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Quick Start,Wake-On-Cast Compatibility,Control Via Remote Control App,Control Via Smart Speaker,Automatic Brightness Control,User Adjustable Backlight",Yes,No,114,137.6,114,211,0.4,0.3,0.4,0.4,04/07/2024,12/20/2023,United States,ES_1118034_OLED65B4PU*_122020231113408_7049302
2838655,"LG Electronics, Inc.",LG,OLED65C4PU*,OLED65C4PU*,"OLED65C4AU*,OLED65C4AU*,OLED65C4AU* is the same as OLED65C4PU* except for model designation.* may be any alphanumeric according to color of stand or enclosure",195174077207;195174078181,Television (TV),Consumer,OLED,OLED,64.5,1778.87,3840,2160,4K (UHD),Yes,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Quick Start,Wake-On-Cast Compatibility,Control Via Remote Control App,Control Via Smart Speaker,Automatic Brightness Control,User Adjustable Backlight",Yes,No,131.9,147.2,131.9,244,,0.3,0.5,0.5,02/20/2024,12/05/2023,United States,ES_1118034_OLED65C4PU*_120520231442163_1126459
3143234,"LG Electronics, Inc.",LG,OLED77B4PU*,OLED77B4PU*,"OLED77B4AU*,OLED77B4AU*,OLED77B4AU* is the same as OLED77B4PU* except for model designation.* may be any alphanumeric according to color of stand or enclosure; OLED77B4EU*,OLED77B4EU*,OLED77B4EU* is the same as OLED77B4PU* except for model designation.* may be any alphanumeric according to color of stand or enclosure",195174077214;195174077221,Television (TV),Consumer,OLED,OLED,76.7,2512.52,3840,2160,4K (UHD),Yes,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Quick Start,Wake-On-Cast Compatibility,Control Via Remote Control App,Control Via Smart Speaker,Automatic Brightness Control,User Adjustable Backlight",Yes,No,142.8,152.9,142.8,263,0.4,0.3,0.4,0.4,04/07/2024,12/21/2023,United States,ES_1118034_OLED77B4PU*_122120230719523_8888606
2740387,"LG Electronics, Inc.",LG,OLED77C4PU*,OLED77C4PU*,"OLED77C4AU*,OLED77C4AU*,OLED77C4AU* is the same as OLED77C4PU* except for model designation.* may be any alphanumeric according to color of stand or enclosure",195174076750;195174078198,Television (TV),Consumer,OLED,OLED,76.7,2512.52,3840,2160,4K (UHD),Yes,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Quick Start,Wake-On-Cast Compatibility,Control Via Remote Control App,Control Via Smart Speaker,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Automatic Brightness Control,User Adjustable Backlight",Yes,No,164.9,185.7,164.9,304,,0.3,0.4,0.4,02/20/2024,11/20/2023,United States,ES_1118034_OLED77C4PU*_112020230528593_3556352
3361112,"LG Electronics, Inc.",LG,OLED83C4PU*,OLED83C4PU*,"OLED83C4AU*,OLED83C4AU*,OLED83C4AU* is the same as OLED83C4PU* except for model designation.* may be any alphanumeric according to color of stand or enclosure",195174079485;195174079492,Television (TV),Consumer,OLED,OLED,82.5,2909.16,3840,2160,4K (UHD),Yes,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Quick Start,Wake-On-Cast Compatibility,Control Via Remote Control App,Control Via Smart Speaker,Automatic Brightness Control,User Adjustable Backlight",Yes,No,196.9,214.6,196.9,362,,0.3,0.4,0.4,04/20/2024,01/09/2024,United States,ES_1118034_OLED83C4PU*_010920240602719_9783321
2649998,"Naxa Electronics, Inc.",Clear Tunes,ATSC-PM81331,ATSC-PM81331,",ATSC-PM31331,; ,CT-1315N,; ,CT-1315S,; ,CT-1350N,; ,CT-1350S,; ,CT-1351N,; ,CT-1351S,; ,CT-1352N,; ,CT-1352S,; ,CT-1353N,; ,CT-1353S,; ,CT-1354N,; ,CT-1354S,; ,CT-1355N,; ,CT-1355S,; ,CT-1356N,; ,CT-1356S,; ,CT-1357N,; ,CT-1357S,; ,CT-1358N,; ,CT-1358S,; ,CT-1359N,; ,CT-1359S,; ,CT-1360N,; ,CT-1360S,; ,CT-1385S,; ,EXB13.3LED,; ,NTD-1356A,; ,PDVA-PM31331,; ,PDVA-PM81331,",840005019191;840005019252,Television (TV),Consumer,LCD,Direct-lit LED,13.23,74.55,1366,768,Other,No,"Universal Serial Bus (USB),Other,HDMI",None,None,None,No,N/A,9.3,35.45,9.3,18.36,,0.2,0,0.2,07/28/2023,09/05/2023,"United States, Canada",ES_1117334_ATSC-PM81331_08082023105101_6683160
2400243,"Naxa Electronics, Inc.",Clear Tunes,CT-1385S,CT-1385S,",CT-1315N,; ,CT-1315S,; ,CT-1390N,; ,NTD-1356A,; ,NTD-1357,; ,NTD-1358,; ,NTD-1359,; ,NTD-1360,; ,NTD-1361,; ,NTD-1362,; ,NTD-1363,; ,NTD-1364,; ,NTD-1365,",744234404837,Television (TV),Consumer,LCD,Edge-lit LED,13.25,75.08,1366,768,Other,No,"Universal Serial Bus (USB),HDMI",None,None,None,No,N/A,10.7,20.76,10.7,22.09,,0.37,0,0,10/10/2022,08/17/2022,"United States, Canada",ES_1117334_CT-1385S_08162022113718_448572
2400244,"Naxa Electronics, Inc.",Clear Tunes,CT-1514S,CT-1514S,",CT-1514N,; ,CT-1586N,; ,CT-1590N,; ,CT-1596N,",744234405278,Television (TV),Consumer,LCD,Edge-lit LED,15.55,103.25,1366,768,Other,No,"Universal Serial Bus (USB),HDMI",None,None,None,No,N/A,9.5,23.09,9.5,19.97,,0.38,0,0,10/10/2022,08/17/2022,"United States, Canada",ES_1117334_CT-1514S_08162022173330_7338678
2649995,"Naxa Electronics, Inc.",Clear Tunes,PDVA-PM31561,PDVA-PM31561,",ATSC-PM31561,; ,ATSC-PM81561,; ,CT-1514S:CT-1514N,; ,CT-1515N,; ,CT-1550N,; ,CT-1550S,; ,CT-1551N,; ,CT-1551S,; ,CT-1552N,; ,CT-1552S,; ,CT-1553N,; ,CT-1553S,; ,CT-1554N,; ,CT-1554S,; ,CT-1555N,; ,CT-1555S,; ,CT-1556N,; ,CT-1556S,; ,CT-1557N,; ,CT-1557S,; ,CT-1558N,; ,CT-1558S,; ,CT-1559N,; ,CT-1559S,; ,CT-1560N,; ,CT-1560S,; ,CT-1584S,; ,CT-1590N,; ,PDVA-PM81561,",840005019207;840005019214;840005019269;840005019276,Television (TV),Consumer,LCD,Direct-lit LED,15.47,102.06,1920,1080,High Definition (HD),No,"Universal Serial Bus (USB),Other,HDMI",None,None,None,No,N/A,12.55,43.65,12.55,24.29,,0.2,0,0.2,07/28/2023,09/05/2023,"United States, Canada",ES_1117334_PDVA-PM31561_08072023204753_7426416
2649999,"Naxa Electronics, Inc.",Emerson,ATSC-PM81331,ATSC-PM81331,",ATSC-PM31331,; ,ETC-1300N,; ,ETC-1300S,; ,ETC-1301N,; ,ETC-1301S,; ,ETC-1302N,; ,ETC-1302S,; ,ETC-1303N,; ,ETC-1303S,; ,ETC-1304N,; ,ETC-1304S,; ,ETC-1305N,; ,ETC-1305S,; ,PDVA-PM31331,; ,PDVA-PM81331,",840005019191;840005019252,Television (TV),Consumer,LCD,Direct-lit LED,13.23,74.55,1366,768,Other,No,"Universal Serial Bus (USB),Other,HDMI",None,None,None,No,N/A,9.3,35.45,9.3,18.36,,0.2,0,0.2,07/28/2023,09/05/2023,"United States, Canada",ES_1117334_ATSC-PM81331_08082023105101_719873
2649996,"Naxa Electronics, Inc.",Emerson,PDVA-PM31561,PDVA-PM31561,",ATSC-PM31561,; ,ATSC-PM81561,; ,ETC-1500N,; ,ETC-1500S,; ,ETC-1501N,; ,ETC-1501S,; ,ETC-1502N,; ,ETC-1502S,; ,ETC-1503N,; ,ETC-1503S,; ,ETC-1504N,; ,ETC-1504S,; ,ETC-1505N,; ,ETC-1505S,; ,PDVA-PM81561,",840005019207;840005019214;840005019269;840005019276,Television (TV),Consumer,LCD,Direct-lit LED,15.47,102.06,1920,1080,High Definition (HD),No,"Universal Serial Bus (USB),Other,HDMI",None,None,None,No,N/A,12.55,43.65,12.55,24.29,,0.2,0,0.2,07/28/2023,09/05/2023,"United States, Canada",ES_1117334_PDVA-PM31561_08072023204753_7397882
2648522,"Naxa Electronics, Inc.",Emerson,PDVA-PM81851,PDVA-PM81851,",ATSC-PM81851,; ,ETC-1900N,; ,ETC-1900S,; ,ETC-1901N,; ,ETC-1901S,; ,ETC-1902N,; ,ETC-1902S,; ,ETC-1903N,; ,ETC-1903S,; ,ETC-1904N,; ,ETC-1904S,; ,ETC-1905N,; ,ETC-1905S,",840005019221;840005019238,Television (TV),Consumer,LCD,Direct-lit LED,18.49,145.58,1366,768,Other,No,"Universal Serial Bus (USB),Other,HDMI",None,None,None,No,N/A,17.15,52.55,17.15,32.69,,0.2,,,07/28/2023,08/25/2023,"United States, Canada",ES_1117334_PDVA-PM81851_08232023174737_8262597
3518765,"NEC Display Solutions of America, Inc.",NEC,E328,E328,"E328-2,E328-2,E328-2",573607351,Television (TV),Consumer,"LCD,Other",Other,31.6,425.43,1080,1920,High Definition (HD),No,"Universal Serial Bus (USB),Other,RS-232,HDMI",None,None,"Other,Automatic Brightness Control,User Adjustable Backlight",Yes,No,,,30.29,56.53,,0.18,,,05/10/2024,05/21/2024,"United States, Canada",E328-2
3530981,"NEC Display Solutions of America, Inc.",NEC,E438,E438,,0573607352,Television (TV),Consumer,Other,Direct-lit LED,42.5,772.32,3840,2160,Standard Definition (SD),No,"Universal Serial Bus (USB),Other,RS-232,HDMI",None,None,"Other,Automatic Brightness Control,User Adjustable Backlight",Yes,No,,,53.78,99.1,,,,,05/10/2024,05/16/2024,"United States, Canada",ES_1021168_E438_05212024131111_2457715
3530982,"NEC Display Solutions of America, Inc.",NEC,E498,E498,,0573607353,Television (TV),Consumer,Other,Direct-lit LED,55,1275.34,3840,2160,Standard Definition (SD),No,"Universal Serial Bus (USB),Other,RS-232,HDMI",None,None,"Other,Automatic Brightness Control,User Adjustable Backlight",Yes,No,,,66.98,123,0.17,,,,05/10/2024,05/21/2024,"United States, Canada",ES_1021168_E498_05212024132743_6402022
3530983,"NEC Display Solutions of America, Inc.",NEC,E558,E558,,0573607354,Television (TV),Consumer,Other,Direct-lit LED,54.6,1275.34,3840,2160,Standard Definition (SD),No,"Universal Serial Bus (USB),Other,RS-232,HDMI",None,None,"Other,Automatic Brightness Control,User Adjustable Backlight",Yes,No,,,63.19,199,0.17,,,,05/10/2024,05/21/2024,"United States, Canada",ES_1021168_E558_05212024144519_6111493
3462878,"Samsung Electronics Co., Ltd.",Samsung,QN42S90DAE,QN42S90DAE,"QN42S90DDE,QN42S90DDE,Same as basic model except model designation",,Television (TV),Consumer,OLED,OLED,41.5,737.4,3840,2160,4K (UHD),Yes,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Wake-On-Cast Compatibility,Control Via Remote Control App,Control Via Smart Speaker,Upconversion,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Automatic Brightness Control,User Adjustable Backlight",Yes,No,,,71.3,132,,,,,04/25/2024,04/18/2024,United States,ES_1023593_QN42S90DAE_042120240811785_9250852
2406380,"Samsung Electronics Co., Ltd.",Samsung,QN43QN90CAF,QN43QN90CAF,"QN43QN90CDF,QN43QN90CDF,Same as basic model except model designation",,Television (TV),Consumer,QD-LED (QLED),Direct-lit LED,42.5,771.85,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Control Via Smart Speaker,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Automatic Brightness Control",Yes,No,67.38,80.27,55,110.8,,0.38,0.42,0.42,12/31/2022,12/28/2022,United States,ES_1023593_QN43QN90CAF_122820220852488_8109999
3354303,"Samsung Electronics Co., Ltd.",Samsung,QN43QN90DAF,QN43QN90DAF,"QN43QN90DDF,QN43QN90DDF,Same as basic model except model designation; QN43QN92DAF,QN43QN92DAF,Same as basic model except model designation",,Television (TV),Consumer,QD-LED (QLED),Direct-lit LED,42.5,771.85,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"High Dynamic Range Upscaling,Wake-On-Cast Compatibility,Control Via Remote Control App,Control Via Smart Speaker,Upconversion,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Automatic Brightness Control,User Adjustable Backlight",Yes,No,63.4,85.68,63.4,143.6,,0.3,0.5,,12/29/2023,12/18/2023,United States,ES_1023593_QN43QN90DAF_121820230452627_6454741
3439034,"Samsung Electronics Co., Ltd.",Samsung,QN48S90DAE,QN48S90DAE,"QN48S90DDE,QN48S90DDE,Same as basic model except model designation",,Television (TV),Consumer,OLED,OLED,47.5,965.2,3840,2160,4K (UHD),Yes,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Wake-On-Cast Compatibility,Control Via Remote Control App,Control Via Smart Speaker,Upconversion,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Automatic Brightness Control,User Adjustable Backlight",Yes,No,,,81.6,151,,,,,04/22/2024,04/16/2024,United States,ES_1023593_QN48S90DAE_04172024044633_1715624
2406381,"Samsung Electronics Co., Ltd.",Samsung,QN50QN90CAF,QN50QN90CAF,"QN50QN90CDF,QN50QN90CDF,Same as basic model except model designation",,Television (TV),Consumer,QD-LED (QLED),Direct-lit LED,49.5,1047.01,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Control Via Smart Speaker,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Automatic Brightness Control",Yes,No,82.13,97.25,67,132.7,,0.3,0.4,0.4,12/31/2022,12/28/2022,United States,ES_1023593_QN50QN90CAF_122820221022764_7053135
2448997,"Best Buy Purchasing, LLC",Insignia,NS-43N101NA24,NS-43N101NA24,"NS-43N101CA24,NS-43N101CA24,",600603298233,Television (TV),Consumer,LCD,Direct-lit LED,42.5,771.86,1920,1080,High Definition (HD),No,"Universal Serial Bus (USB),HDMI",None,None,None,No,N/A,45.55,66.38,42,85.5,,0.32,0,0,06/20/2023,03/21/2023,"United States, Canada",ES_1059185_NS-43N101NA24_03232023162934_6317761
2402123,Curtis International Ltd.,RCA,65D1,65D1,",65N1,; ,RTAU6504,; ,RTAU6540.,; ,RTRU6527,; ,RWOSU6547,; ,RWOSU6547-A,; ,RWOSU6548,; ,WR65UC4210,; ,WR65UE4210,; ,WR65UT4210,; ,WR65UT4212,; ,WR65UX4210,; ,WR65UX4210V,; ,WR65UX4212,",,Television (TV),Consumer,LCD,Direct-lit LED,64.5,1798.5,2160,3840,Other,No,"Universal Serial Bus (USB),Other,HDMI",None,None,None,No,N/A,117.69,147.81,117.69,216.87,,0.3,0.3,0.3,10/20/2022,09/29/2022,"United States, Canada",ES_1120898_65D1_09282022113050_6627618
2403227,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LE-24T1,LE-24T1,",EC24T1H,; ,EC24T1HA,; ,EC24T1HN,; ,EC24T2H,; ,EC24T2HA,; ,EC24T2HN,; ,EC24T3H,; ,EC24T3HA,; ,EC24T3HN,; ,ES24T1H,; ,ES24T1HA,; ,ES24T1HN,; ,ES24T2H,; ,ES24T2HA,; ,ES24T2HN,; ,ES24T3H,; ,ES24T3HA,; ,ES24T3HN,; ,LE-24***,; ,LE-24T2,; ,LE-24T3,; ,LE-24V1,; ,LE-24V2,; ,LE-24V3,; ,NT-2406,; ,SC-2416STV,; ,TL2402H,",,Television (TV),Consumer,LCD,Direct-lit LED,23.53,236.69,768,1366,Other,No,Universal Serial Bus (USB),None,None,None,No,N/A,23.65,51.91,23.65,45.2,,0.29,0.29,0.29,09/26/2022,10/18/2022,"United States, Canada",ES_25251_LE-24T1_09262022155900_3996240
2399940,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LE-32T1,LE-32T1,",EC32T1H,; ,EC32T1HA,; ,EC32T1HN,; ,EC32T2H,; ,EC32T2H,; ,EC32T2HA,; ,EC32T2HN,; ,EC32T3H,; ,EC32T3H,; ,EC32T3HA,; ,EC32T3HN,; ,EC32V1HA,; ,EC32V1HN,; ,EC32V2HA,; ,EC32V2HN,; ,EC32V3HA,; ,EC32V3HN,; ,ES32T1H,; ,ES32T1HA,; ,ES32T1HN,; ,ES32T2H,; ,ES32T2HA,; ,ES32T2HN,; ,ES32T3H,; ,ES32T3HA,; ,ES32T3HN,; ,ES32V1HA,; ,ES32V1HN,; ,ES32V2HA,; ,ES32V2HN,; ,ES32V3HA,; ,ES32V3HN,; ,LE-32***,; ,LE-32V1,; ,LE/32T1,; ,NT-3206,; ,SC-3216STV,; ,SL3221VN,; ,SL32XXXX,; ,TL3202H,",,Television (TV),Consumer,LCD,Direct-lit LED,31.5,421.69,768,1366,Other,No,Universal Serial Bus (USB),None,None,None,No,N/A,28.4,63.28,28.4,54,,0.31,0.31,0.31,10/14/2022,07/29/2022,"United States, Canada",ES_25251_LE-32T1_08012022115139_122644
3477608,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LE-32VA1,LE-32VA1,",*****32*****.,; ,LE-32T1,; ,LE-32T2,; ,LE-32T3,; ,LE-32TA1,; ,LE-32TA2,; ,LE-32TA3,; ,LE-32V1,; ,LE-32V2,; ,LE-32V3,; ,LE-32VA2,; ,LE-32VA3,; ,LE-32VB1,; ,LE-32VB2,; ,LE-32VB3,; ,LE-32VH1,; ,LE-32VH2,; ,LE-32VH3,; ,LE-32VS1,; ,LE-32VS2,; ,LE-32VS3,; ,S32VAHW,",,Television (TV),Consumer,LCD,Direct-lit LED,31.47,425.52,768,1366,High Definition (HD),No,"Universal Serial Bus (USB),HDMI",None,None,None,No,N/A,35.64,58.02,35.64,67.19,,0.29,0.29,0,04/26/2024,05/06/2024,"United States, Canada",ES_25251_LE-32VA1_04242024134641_6894342
2853512,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LED TV,LE-32VA4,"LED TV,C32V1HA,; LED TV,C32V2HA,; LED TV,C32V3HA,; LED TV,EC32T1H,; LED TV,EC32T1HA,; LED TV,EC32T1HN,; LED TV,EC32T2H,; LED TV,EC32T2HA,; LED TV,EC32T2HN,; LED TV,EC32T3H,; LED TV,EC32T3HA,; LED TV,EC32T3HN,; LED TV,EC32V1HA,; LED TV,EC32V1HN,; LED TV,EC32V2HA,; LED TV,EC32V2HN,; LED TV,EC32V3HA,; LED TV,EC32V3HN,; LED TV,ES32T1H,; LED TV,ES32T1HA,; LED TV,ES32T1HN,; LED TV,ES32T2H,; LED TV,ES32T2HA,; LED TV,ES32T2HN,; LED TV,ES32T3H,; LED TV,ES32T3HA,; LED TV,ES32T3HN,; LED TV,ES32V1HA,; LED TV,ES32V1HN,; LED TV,ES32V2HA,; LED TV,ES32V2HN,; LED TV,ES32V3HA,; LED TV,ES32V3HN,; LED TV,S32T1H,; LED TV,S32T1HA,; LED TV,S32T1HN,; LED TV,S32T2H,; LED TV,S32T2HA,; LED TV,S32T2HN,; LED TV,S32T3H,; LED TV,S32T3HA,; LED TV,S32T3HN,; LED TV,S32V1HA,; LED TV,S32V1HG,; LED TV,S32V1HN,; LED TV,S32V2HA,; LED TV,S32V2HN,; LED TV,S32V3HA,; LED TV,S32V3HN,",,Television (TV),Consumer,LCD,Direct-lit LED,32,424.19,1366,768,Standard Definition (SD),No,"Universal Serial Bus (USB),HDMI",Fast Ethernet (100 Mbit/s),Other,"Wake-On-Cast Compatibility,Control Via Remote Control App,Full Network Connectivity (Smart TV),User Adjustable Backlight",No,N/A,29.81,40.07,24,47,,0.28,0.41,,07/01/2022,12/13/2023,United States,ES_25251_LE-32VA4_12142023090146_5427097
3477693,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LE-40VA1,LE-40VA1,",*****40*****.,; ,LE-40T1,; ,LE-40T2,; ,LE-40T3,; ,LE-40TA1,; ,LE-40TA2,; ,LE-40TA3,; ,LE-40V1,; ,LE-40V2,; ,LE-40V3,; ,LE-40VA2,; ,LE-40VA3,; ,LE-40VB1,; ,LE-40VB2,; ,LE-40VB3,; ,LE-40VH1,; ,LE-40VH2,; ,LE-40VH3,; ,LE-40VS1,; ,LE-40VS2,; ,LE-40VS3,; ,S40VAFW,",,Television (TV),Consumer,LCD,Direct-lit LED,49.61,645.65,1080,1920,Other,No,"Universal Serial Bus (USB),HDMI",None,None,None,No,N/A,68.37,90.6,68.37,126.94,,0.44,0.5,0,04/26/2024,05/07/2024,"United States, Canada",ES_25251_LE-40VA1_04232024175748_7661096
2853511,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LED TV,LE-40VA4,"LED TV,EC40V1FA,; LED TV,EC40V2FA,; LED TV,EC40V3FA,; LED TV,ES40V1FA,; LED TV,ES40V2FA,; LED TV,ES40V3FA,; LED TV,LE-40V1,; LED TV,PG40SMA,; LED TV,RTA4002,; LED TV,S40V1FA,; LED TV,S40V1FG,; LED TV,S40V2FA,; LED TV,S40V3FA,; LED TV,SC-4050GTV,",,Television (TV),Consumer,LCD,Direct-lit LED,40,660.6,1920,1080,High Definition (HD),No,"Universal Serial Bus (USB),HDMI",Fast Ethernet (100 Mbit/s),Other,"Wake-On-Cast Compatibility,Control Via Remote Control App,Full Network Connectivity (Smart TV),User Adjustable Backlight",No,N/A,40.24,59.37,34,64.8,,0.37,0.4,,07/01/2022,12/13/2023,United States,ES_25251_LE-40VA4_12142023084042_7725312
2508240,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LE-43VA1,LE-43VA1,",*****43*********,; ,C43TAUG,; ,C43VAUG,; ,E400GD43G-G, RTGU4370,; ,LE-43TA1,; ,LE-43TA2,; ,LE-43TA3,; ,LE-43TA4,; ,LE-43TA5,; ,LE-43VA2,; ,LE-43VA3,; ,LE-43VA4,; ,LE-43VA5,; ,PG43***,; ,PG43SKA,; ,PG43SMA,; ,PTGU43**,; ,RTA43****,; ,RTA4302,; ,RTA4302-B,; ,RTAU43****,; ,RTAU4350,; ,RTAU4350-B,; ,S43TAUG,; ,S43VAUG,; ,SC-****GTV .,; ,SC-4350GTV,; ,WG43UX4210,",,Television (TV),Consumer,LCD,Direct-lit LED,42.5,774.72,3840,2160,Other,No,"Universal Serial Bus (USB),HDMI",None,None,None,No,N/A,53.32,85.86,53.32,99.24,,0.27,0.28,0,06/09/2023,06/12/2023,"United States, Canada",ES_25251_LE-43VA1_06092023152622_9290277
